canonical_smiles,pchembl_value
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(Br)c2)C1,7.7
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(C)c2)C1,7.58
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nc(C3CC3)sc2-c2cccc(OC)c2)C1,7.39
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2nccnc2-c2cccc(C)c2)C1,6.32
C=C1C[C@@H](c2nc3cc(OC)ccc3[nH]2)N(C(=O)c2ncsc2-c2cccc(Cl)c2)C1,6.09
C=C1C[C@@H](c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2cc(C)ccc2-n2nccn2)C1,7.08
C=C1C[C@@H](c2nc3cc(SC)ccc3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(C)c(C)c2)C1,8.1
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(C)c2F)C1,7.89
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2c(-n3nccn3)ccc(OC)c2F)C1,8.52
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2cc(C(F)(F)F)ccc2-n2nccn2)C1,6.67
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2cc(C)c(C)cc2-n2nccn2)C1,7.96
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2cc(C)ccc2-n2cccn2)C1,7.12
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2cc(Cl)ccc2-n2nccn2)C1,7.7
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2cc(OC)ccc2-n2nccn2)C1,8.05
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)ccc2-n2cccn2)C1,7.08
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)ccc2-n2nccn2)C1,7.77
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2cc(C)cc(C)c2)C1,7.82
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(Br)cc2)C1,7.85
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(Cl)cc2)C1,7.85
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(F)c(Br)c2)C1,8.7
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2ccc(F)cc2)C1,7.68
C=C1C[C@@H](c2nc3ccc(Cl)c(C)c3[nH]2)N(C(=O)c2nc(C)sc2-c2cccc(Br)c2)C1,8.7
